date,forecast,ci_lower,ci_upper
2025-01-31,121.44938042590391,111.55096431688796,131.34779653491987
2025-02-28,124.32979377116207,114.31664530320661,134.34294223911752
2025-03-31,124.98929829896355,114.98559140048988,134.9930051974372
2025-04-30,134.38764706835465,124.42034828473146,144.35494585197785
2025-05-31,133.0313165127339,123.05639173791562,143.00624128755217
2025-06-30,131.89210232570795,121.90955703269535,141.87464761872056
2025-07-31,127.184438438752,117.19427845172648,137.1745984257775
2025-08-31,122.61408403475885,112.61631516454565,132.61185290497204
2025-09-30,118.56878860996352,108.56341664296272,128.57416057696432
2025-10-31,117.57396160632634,107.56099231984317,127.5869308928095
2025-11-30,123.00498659507402,112.98442575487914,133.0255474352689
2025-12-31,125.94069652438561,115.9125499292112,135.96884311956003
2026-01-31,131.46325203872567,121.19395107345915,141.7325530039922
2026-02-28,134.49303805671443,124.22766520507584,144.75841090835303
2026-03-31,135.26736895681773,125.00509201654063,145.52964589709484
2026-04-30,144.66571772620887,134.4262709236135,154.90516452880425
2026-05-31,143.30938717058808,133.05991828221823,153.55885605895793
2026-06-30,142.17017298356214,131.91069133229746,152.42965463482682
